학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명,지번주소
한신대학교,Hanshin University,본교,대학,대학교,사립,41,경기도,"경기도 오산시 한신대길 137 (양산동, 한신대학교)",,18101,,www.hs.ac.kr,031-379-0114,031-379-0039,1940-04-19,2022,2023-12-27,B340014,한국대학교육협의회,경기 오산시 양산동 400
한세대학교,Hansei University,본교,대학,대학교,사립,41,경기도,경기도 군포시 한세로 30 (당정동),,15852,,www.hansei.ac.kr,031-450-5114,031-450-5124,1953-05-10,2022,2023-12-27,B340014,한국대학교육협의회,경기 군포시 당정동 964-1
성결대학교,Sungkyul University,본교,대학,대학교,사립,41,경기도,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교)",,14097,,www.sungkyul.ac.kr,031-467-8114,031-449-0529,1965-01-13,2022,2023-12-27,B340014,한국대학교육협의회,경기 안양시 만안구 안양동 400-10
평택대학교,Pyeongtaek University,본교,대학,대학교,사립,41,경기도,"경기도 평택시 서동대로 3825 (용이동, 평택대학교)",,17869,,www.ptu.ac.kr,031-659-8114,031-659-8011,1990-11-28,2022,2023-12-27,B340014,한국대학교육협의회,경기 평택시 용이동 605
성공회대학교,Sungkonghoe University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)",,8359,,www.skhu.ac.kr,02-2610-4114,02-2610-4248,1992-12-23,2022,2023-12-27,B340014,한국대학교육협의회,서울 구로구 항동 1-1
태재대학교,TAEJAE UNIVERSITY,본교,대학,사이버대학(대학),사립,11,서울특별시,서울특별시 종로구 창덕궁5길 22-8 (원서동),,3051,,www.taejae.ac.kr,02-740-1300,02-740-1305,2023-09-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 원서동 9-4
가야대학교(고령),Kaya University,제2캠퍼,대학,대학교,사립,47,경상북도,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",,40139,,WWW.KAYA.AC.KR,055-330-1000,055-331-0983,1993-03-13,2022,2023-12-27,B340014,한국대학교육협의회,경북 고령군 대가야읍 지산리 산 120
가야대학교(김해),Kaya University,본교,대학,대학교,사립,48,경상남도,경상남도 김해시 삼계로 208 (삼계동),,50830,,WWW.KAYA.AC.KR,055-330-1000,055-330-1093,1993-03-13,2022,2023-12-27,B340014,한국대학교육협의회,경남 김해시 삼계동 60
가천대학교,Gachon University,본교,대학,대학교,사립,41,경기도,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",,13120,,www.gachon.ac.kr,031-750-5114,031-753-8828,2012-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 성남시 수정구 복정동 620-2
가톨릭관동대학교,Catholic Kwandong University,본교,대학,대학교,사립,42,강원특별자치도,강원특별자치도 강릉시 범일로579번길 24 (내곡동),,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,1955-04-26,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 강릉시 내곡동 522
가톨릭꽃동네대학교,Catholic Kkottongnae University,본교,대학,대학교,사립,43,충청북도,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",,28211,,www.kkot.ac.kr,043-270-0109,043-270-0120,1998-11-30,2022,2023-12-27,B340014,한국대학교육협의회,충북 청주시 서원구 현도면 상삼리 387
가톨릭대학교,The Catholic University Of Korea,본교,대학,대학교,사립,41,경기도,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",,14662,,www.catholic.ac.kr,02-2164-4114,02-2164-4754,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 부천시 원미구 역곡동 산 43-1
가톨릭대학교,The Catholic University Of Korea,제2캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,6591,,www.catholic.ac.kr,02-2258-7114,02-533-4362,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 서초구 반포동 505
가톨릭대학교,The Catholic University Of Korea,제3캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",,3083,,www.catholic.ac.kr,02-740-9705,02-741-2801,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 혜화동 90-1
감리교신학대학교,Methodist Theological University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",,3745,,www.mtu.ac.kr,02-361-9257,02-361-9006,1887-09-29,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 냉천동 31
