구,PC방,가구 소매업,가발 소매업,가방 소매업,가스 충전소,가전제품 소매업,가전제품 수리업,가정용 연료 소매업,가죽/가방/신발 수선업,가축 사료 소매업,건강보조식품 소매업,건물 및 토목 엔지니어링 서비스업,건설/건축자재 소매업,건설기계/장비 대여업,건어물/젓갈 소매업,건축 설계 및 관련 서비스업,건축물 일반 청소업,결혼 상담 서비스업,경양식,경영 컨설팅업,고용 알선업,곡물/곡분 소매업,골프 연습장,곱창 전골/구이,공인노무사,공인회계사,광고 대행업,광고 매체 판매업,광고물 설계/제작업,교육컨설팅업,구내식당,국/탕/찌개류,국수/칼국수,그 외 기타 간이 음식점,그 외 기타 개인/가정용품 수리업,그 외 기타 교육기관,그 외 기타 상품 전문 소매업,그 외 기타 숙박업,그 외 기타 종합 소매업,기념품점,기숙사/고시원,기타 개인/가정용품 대여업,기타 건설/건축자재 소매업,기타 광고 관련 서비스업,기타 교육지원 서비스업,기타 기술/직업 훈련학원,기타 동남아식 전문,기타 법무관련 서비스업,기타 사무 지원 서비스업,기타 산업용 기계/장비 대여업,기타 서양식 음식점,기타 스포츠시설 운영업,기타 엔지니어링 서비스업,기타 여행 보조/예약 서비스업,기타 예술/스포츠 교육기관,기타 오락관련 서비스업,기타 오락장,기타 운송장비 대여업,기타 의류 소매업,기타 의원,기타 일식 음식점,기타 한식 음식점,기타 회계 관련 서비스업,김밥/만두/분식,꽃집,낚시터 운영업,남성 의류 소매업,내과/소아과 의원,냉면/밀면,네일숍,노래방,닭/오리고기 구이/찜,담배/전자담배 소매업,당구장,도시 계획 및 조경 설계 서비스업,독서실/스터디 카페,동물병원,돼지고기 구이/찜,떡/한과,레크리에이션 교육기관,마라탕/훠궈,마사지/안마,만화방,명함/간판/광고물 제작,모터사이클 및 부품 소매업,모터사이클 수리업,목욕탕/사우나,무도 유흥 주점,문구/회화용품 소매업,미술학원,미용실,바둑/장기/체스 경기 운영업,반찬/식료품 소매업,방사선 진단/병리 검사 의원,백반/한정식,버거,번역/통역 서비스업,법무사,베트남식 전문,벽지/장판/마루 소매업,변리사,변호사,복 요리 전문,복권 발행/판매업,복사업,볼링장,부동산 중개/대리업,분류 안된 외국식 음식점,뷔페,비디오방,빵/도넛,사무기기 소매업,사업/무형 재산권 중개업,사업시설 유지·관리 서비스업,사진기/기타 광학기기 소매업,사진촬영업,사회교육시설,산부인과 의원,"산업설비, 운송장비 및 공공장소 청소업",상용 인력 공급 및 인사관리 서비스업,생맥주 전문,생수/음료 소매업,서점,성형외과 의원,세무사,세탁소,셀프 빨래방,소고기 구이/찜,"소독, 구충 및 방제 서비스업",수산물 소매업,수상/해양 레저업,수영장,슈퍼마켓,스쿼시/라켓볼장,스포츠/레크리에이션 용품 대여업,시각 디자인업,시계/귀금속 소매업,시계/귀금속/악기 수리업,시장 조사 및 여론 조사업,신경/정신과 의원,신발 소매업,실/섬유제품 소매업,아이스크림 할인점,아이스크림/빙수,악기 소매업,안경렌즈 소매업,안과 의원,애완동물/애완용품 소매업,액세서리/잡화 소매업,약국,얼음 소매업,여관/모텔,여성 의류 소매업,여행사,예술품 소매업,예식장업,옥외/전시 광고 대행업,외과 의원,외국어학원,요가/필라테스 학원,요리 주점,요양병원,우유 소매업,운동용품 소매업,운전학원,유사 의료업,유아용 의류 소매업,음반/비디오물 대여업,음반/비디오물 소매업,음악학원,의료기기 소매업,의류 대여업,의류/이불 수선업,이비인후과 의원,인테리어 디자인업,일반 유흥 주점,일반병원,일식 면 요리,일식 카레/돈가스/덮밥,일식 회/초밥,임시/일용 인력 공급업,입시·교과학원,자동차 대여업,자동차 부품 소매업,자동차 세차장,자동차 정비소,자전거 소매업,장난감 소매업,장례식장,전/부침개,전기용품/조명장치 소매업,전문자격/고시학원,전시/컨벤션/행사 대행 서비스업,전자 게임장,정육점,제품 디자인업,조경 유지·관리 서비스업,족발/보쌈,종합 스포츠시설,종합병원,주류 소매업,주방/가정용품 소매업,주유소,중고 상품 소매업,중국집,직원 훈련기관,채소/과일 소매업,철물/공구 소매업,청소년 수련시설,체형/비만 관리,치과병원,치과의원,치킨,침구류/커튼 소매업,카페,캠핑/글램핑,컴퓨터 학원,컴퓨터/노트북/프린터 수리업,컴퓨터/사무기기 대여업,컴퓨터/소프트웨어 소매업,타이어 소매업,탁구장,태권도/무술학원,테니스장,토스트/샌드위치/샐러드,파스타/스테이크,패밀리레스토랑,패션/섬유/기타 전문 디자인업,펜션,편의점,포장/충전업,피부 관리실,피부/비뇨기과 의원,피자,한방병원,한복 소매업,한의원,해산물 구이/찜,핸드폰 소매업,핸드폰/통신장비 수리업,행정사,헬스장,호텔/리조트,화장터/묘지/납골당,화장품 소매업,환경 관련 엔지니어링 서비스업,횟집
강남구,79,171,10,132,10,96,74,7,43,3,303,188,22,16,11,1219,249,179,978,5307,279,5,211,72,112,228,3192,45,465,409,132,323,209,116,77,246,82,2,74,59,231,75,15,122,574,328,13,12,76,75,36,37,241,80,135,80,123,20,964,80,10,22,6,621,240,0,216,124,35,408,222,58,56,106,102,263,84,635,53,84,63,90,2,222,17,13,51,8,130,156,1501,3,140,12,2390,77,140,203,171,23,381,597,14,38,48,7,3620,2,14,1,462,32,311,197,11,1311,28,50,27,78,180,21,73,521,1368,299,30,71,42,23,6,5,388,8,19,661,248,9,155,45,107,49,6,30,17,182,30,147,116,485,2,85,645,438,281,51,82,58,205,644,827,10,2,207,13,88,57,1,16,125,117,181,171,21,520,286,23,45,57,789,188,1194,63,48,89,213,21,40,23,17,38,26,669,4,64,205,10,69,23,3,96,253,41,74,371,134,59,83,6,83,11,280,315,72,2102,1,46,140,30,89,3,11,65,67,70,57,7,183,38,891,20,765,419,354,8,44,131,119,200,34,138,409,77,4,848,69,178
강동구,61,34,4,35,3,49,96,5,17,1,127,43,9,12,19,126,138,7,126,250,56,3,67,56,6,7,198,4,53,28,20,183,119,70,66,34,38,4,24,26,105,37,12,16,46,71,5,0,11,25,4,13,32,12,41,13,29,6,406,13,3,8,2,326,77,1,53,37,29,194,225,58,21,98,18,98,49,310,50,31,33,52,10,93,9,17,17,9,56,60,937,5,111,4,747,37,9,38,44,50,3,10,2,40,12,2,1004,1,18,0,252,14,18,46,8,135,5,10,26,13,94,12,36,8,88,135,34,35,23,22,0,3,333,1,5,96,61,2,9,6,72,15,1,17,3,84,4,75,48,243,2,69,258,63,16,3,8,19,35,167,440,2,1,70,5,12,37,0,1,74,78,12,54,8,200,126,2,12,24,171,32,344,25,30,34,172,43,18,13,11,32,1,67,9,87,23,9,54,7,5,9,60,18,49,133,12,78,106,2,26,1,82,241,57,747,0,5,67,17,24,2,10,50,37,27,19,1,18,7,382,9,221,52,152,8,8,44,88,146,10,17,130,3,1,188,13,95
강북구,42,27,0,18,4,30,86,8,5,0,58,5,2,3,18,83,119,5,76,106,33,2,23,50,4,8,131,1,33,14,11,161,79,44,48,23,48,2,19,12,45,19,10,8,25,63,3,0,10,12,9,7,12,9,18,2,36,3,287,4,1,7,0,236,36,4,35,25,19,152,264,44,25,81,6,40,25,262,51,14,18,30,6,55,7,30,20,5,38,15,694,8,95,1,673,21,8,19,17,26,0,9,1,35,6,5,589,0,3,3,136,5,9,19,3,93,2,2,12,4,108,7,26,3,61,105,22,27,18,12,0,0,264,1,5,68,50,2,4,4,47,12,2,11,0,49,4,46,41,164,1,127,146,40,7,2,5,10,4,74,419,2,3,24,1,12,16,0,3,25,50,6,43,1,162,100,1,12,8,97,22,124,4,15,41,129,15,18,9,9,29,2,32,12,57,9,0,63,2,1,4,44,9,53,103,5,59,63,4,15,1,40,194,39,510,0,0,55,6,30,1,7,37,8,14,17,1,15,4,283,6,167,29,86,1,6,16,65,116,9,9,62,4,2,118,3,58
강서구,73,61,6,33,17,64,106,8,19,0,163,76,5,12,27,254,166,13,193,816,80,7,90,57,38,26,634,11,109,47,47,252,130,62,51,80,50,0,37,31,62,50,13,26,79,128,7,6,36,30,13,29,93,32,44,32,63,5,423,14,6,16,0,451,73,4,72,41,26,285,299,62,32,107,12,102,45,448,63,47,55,53,4,90,20,9,34,4,74,59,1056,7,119,4,1146,57,28,50,63,51,18,29,4,56,14,12,1319,2,13,0,320,25,38,70,1,229,8,11,20,39,137,10,47,9,258,201,51,46,30,56,2,4,398,3,8,218,73,0,21,7,59,11,3,24,6,96,7,105,43,252,0,97,253,280,11,9,18,21,21,269,642,1,4,70,7,15,42,1,3,98,83,12,58,7,275,166,6,27,31,276,51,386,67,49,88,272,27,29,13,4,45,2,123,13,89,84,5,65,5,4,8,96,35,57,211,28,76,87,2,50,4,85,319,52,1041,0,6,111,22,68,8,10,62,43,34,32,7,48,19,591,18,406,57,206,6,4,54,106,197,16,46,170,17,5,351,31,83
관악구,90,39,2,26,2,48,96,2,17,1,100,31,9,2,10,128,191,5,158,277,48,3,39,56,9,9,249,6,35,45,20,211,96,65,67,49,40,8,26,12,300,29,6,8,64,97,5,3,5,15,19,19,41,5,35,20,65,6,359,9,2,10,1,374,48,2,69,21,31,207,279,61,37,75,5,245,28,337,63,32,45,55,4,68,25,36,19,3,48,36,927,9,88,0,914,40,28,49,50,69,8,29,2,59,36,1,993,1,4,2,198,3,15,37,0,158,2,9,16,6,173,9,42,5,81,237,70,33,22,25,1,3,354,2,2,145,73,7,9,11,58,6,3,20,8,79,3,59,37,219,0,93,173,60,15,4,7,11,25,162,569,1,1,39,3,14,19,1,2,64,55,9,55,6,210,219,2,21,21,199,26,223,8,20,48,146,13,20,6,11,37,14,54,15,78,31,4,61,3,1,5,62,15,64,183,10,88,102,2,36,0,57,284,39,812,0,9,67,16,37,3,10,46,31,25,31,2,11,19,458,9,238,40,165,1,9,22,97,148,19,28,129,9,0,189,6,81
광진구,55,49,2,44,3,94,83,6,12,1,100,36,6,6,11,218,147,8,162,298,56,3,34,57,7,7,240,7,59,32,22,169,90,57,84,48,38,2,31,23,107,29,7,14,63,97,2,3,17,18,13,24,41,12,52,15,75,2,299,14,3,8,0,308,61,1,47,13,27,196,321,62,21,88,8,83,28,316,43,23,38,45,4,116,31,21,17,2,47,37,788,4,75,1,767,39,10,41,42,40,3,26,0,41,38,2,888,0,3,4,221,10,20,36,21,236,4,7,13,13,131,9,24,3,88,143,37,27,26,15,2,1,270,0,14,169,71,1,11,7,76,10,3,22,10,75,2,57,44,183,0,69,218,83,21,7,9,17,31,169,480,0,5,47,3,14,23,3,5,51,55,11,55,7,179,59,3,18,22,197,35,198,30,28,28,116,36,26,8,6,34,4,83,6,65,26,5,50,4,2,10,69,21,48,199,15,46,74,1,19,3,47,224,35,801,0,3,57,22,142,0,9,27,23,27,23,3,33,15,402,11,207,36,123,3,1,28,61,364,15,35,112,5,1,183,13,77
구로구,52,42,1,31,4,71,89,12,9,0,117,86,4,9,13,153,111,15,77,664,96,4,59,46,39,41,458,10,84,50,29,185,113,52,35,54,54,0,29,19,86,33,11,17,73,74,8,2,15,11,8,10,152,19,13,20,36,2,295,15,5,11,0,306,37,2,65,35,28,148,273,57,22,73,14,53,29,283,42,22,56,37,1,107,9,16,19,0,62,22,695,26,91,1,819,35,24,41,35,43,18,34,3,50,11,5,700,4,5,0,176,17,29,67,11,93,9,0,10,25,181,13,29,4,155,107,20,36,23,14,0,3,424,0,5,131,54,2,10,2,66,20,0,19,7,72,3,35,39,181,0,113,215,150,12,5,12,8,22,132,434,6,5,47,2,8,35,0,4,42,66,8,49,1,177,77,6,19,20,126,51,169,18,37,48,142,19,32,10,5,53,4,71,14,54,60,3,45,2,1,6,118,27,57,299,49,56,93,2,43,1,44,241,37,603,0,11,71,19,87,3,12,25,23,19,17,3,51,8,368,14,171,21,119,0,12,19,70,391,14,54,92,10,3,217,34,78
금천구,37,31,3,27,2,45,75,5,6,1,81,187,7,8,20,233,118,9,40,1388,75,6,38,34,31,39,921,13,144,64,45,173,77,27,46,48,35,0,21,10,36,30,7,25,67,65,3,11,24,24,5,10,411,13,12,12,31,3,397,8,1,10,1,261,27,1,103,21,14,86,180,36,12,67,29,40,13,249,26,15,39,20,2,172,10,16,13,3,58,20,500,2,66,3,662,24,71,34,37,41,48,18,1,28,5,4,808,6,9,0,111,17,40,83,6,98,8,3,18,35,89,4,25,1,253,92,24,25,16,9,0,0,256,2,10,360,45,1,16,1,86,23,1,12,5,44,2,55,33,129,2,65,227,141,12,0,11,8,15,48,308,1,3,74,1,10,28,0,2,26,46,4,68,2,289,97,1,11,14,96,59,73,19,19,44,147,9,17,16,3,33,8,119,9,47,255,4,36,0,2,2,59,13,36,169,33,49,59,3,21,1,29,149,28,553,1,11,85,44,71,3,8,19,13,18,10,2,168,0,321,48,101,10,87,0,0,18,39,170,22,43,64,8,0,147,76,50
노원구,59,40,6,34,8,37,60,6,8,0,70,22,2,0,4,70,78,6,101,121,34,4,64,66,6,3,114,2,30,35,26,147,99,53,40,36,27,1,29,13,53,19,5,8,34,74,3,1,9,5,15,17,24,8,22,6,38,3,327,11,5,12,0,308,48,1,78,19,15,161,234,64,14,89,7,135,41,258,51,23,24,32,5,50,7,10,18,8,53,42,670,2,86,0,647,47,0,41,36,28,1,15,3,36,28,5,505,0,5,1,229,8,14,11,1,106,3,10,8,4,111,4,40,12,31,89,25,28,22,15,0,3,302,2,4,44,50,1,2,2,70,12,3,24,8,79,5,51,41,205,1,34,323,54,10,3,8,13,27,154,287,4,2,34,5,14,37,2,0,68,66,5,44,4,168,76,2,18,27,142,14,373,12,16,39,116,21,14,12,5,28,2,48,7,54,20,2,54,8,3,5,52,20,31,131,8,43,66,1,16,3,61,276,35,656,0,5,51,5,18,5,14,51,30,27,27,5,8,3,324,5,209,50,126,2,3,33,72,114,13,14,109,1,0,190,7,74
도봉구,31,15,5,9,5,45,60,1,9,0,62,10,2,2,11,49,80,2,47,83,27,4,32,46,3,0,84,0,20,13,12,123,73,40,51,20,19,2,16,6,22,11,4,5,15,60,1,0,4,5,10,4,7,2,15,4,26,3,176,8,3,7,0,203,30,0,18,14,21,116,163,35,17,75,0,51,24,202,45,13,10,21,2,48,5,10,19,1,32,22,577,0,81,0,441,22,5,62,17,23,1,69,0,24,3,3,424,0,6,0,134,8,7,15,3,58,1,0,7,1,99,7,20,0,43,71,27,16,19,10,0,1,258,0,0,41,31,1,2,2,20,5,0,12,2,48,1,49,28,109,1,25,88,26,6,2,4,8,4,86,232,2,2,42,1,8,15,1,0,30,30,3,30,0,156,49,4,9,9,83,11,155,10,18,31,132,14,8,7,4,34,2,32,12,59,7,3,33,3,1,1,38,17,24,76,3,50,52,2,17,1,21,188,31,400,0,2,31,11,23,6,8,31,17,10,4,1,8,1,244,10,90,8,72,3,0,7,58,106,4,4,60,2,0,100,3,59
