구,PC방,가구 소매업,가발 소매업,가방 소매업,가스 충전소,가전제품 소매업,가전제품 수리업,가정용 연료 소매업,가죽/가방/신발 수선업,가축 사료 소매업,건강보조식품 소매업,건물 및 토목 엔지니어링 서비스업,건설/건축자재 소매업,건설기계/장비 대여업,건어물/젓갈 소매업,건축 설계 및 관련 서비스업,건축물 일반 청소업,결혼 상담 서비스업,경양식,경영 컨설팅업,고용 알선업,곡물/곡분 소매업,골프 연습장,곱창 전골/구이,공인노무사,공인회계사,광고 대행업,광고 매체 판매업,광고물 설계/제작업,교육컨설팅업,구내식당,국/탕/찌개류,국수/칼국수,그 외 기타 간이 음식점,그 외 기타 개인/가정용품 수리업,그 외 기타 교육기관,그 외 기타 상품 전문 소매업,그 외 기타 숙박업,그 외 기타 종합 소매업,기념품점,기숙사/고시원,기타 개인/가정용품 대여업,기타 건설/건축자재 소매업,기타 광고 관련 서비스업,기타 교육지원 서비스업,기타 기술/직업 훈련학원,기타 동남아식 전문,기타 법무관련 서비스업,기타 사무 지원 서비스업,기타 산업용 기계/장비 대여업,기타 서양식 음식점,기타 스포츠시설 운영업,기타 엔지니어링 서비스업,기타 여행 보조/예약 서비스업,기타 예술/스포츠 교육기관,기타 오락관련 서비스업,기타 오락장,기타 운송장비 대여업,기타 의류 소매업,기타 의원,기타 일식 음식점,기타 한식 음식점,기타 회계 관련 서비스업,김밥/만두/분식,꽃집,낚시터 운영업,남성 의류 소매업,내과/소아과 의원,냉면/밀면,네일숍,노래방,닭/오리고기 구이/찜,담배/전자담배 소매업,당구장,도시 계획 및 조경 설계 서비스업,독서실/스터디 카페,동물병원,돼지고기 구이/찜,떡/한과,레크리에이션 교육기관,마라탕/훠궈,마사지/안마,만화방,명함/간판/광고물 제작,모터사이클 및 부품 소매업,모터사이클 수리업,목욕탕/사우나,무도 유흥 주점,문구/회화용품 소매업,미술학원,미용실,바둑/장기/체스 경기 운영업,반찬/식료품 소매업,방사선 진단/병리 검사 의원,백반/한정식,버거,번역/통역 서비스업,법무사,베트남식 전문,벽지/장판/마루 소매업,변리사,변호사,복 요리 전문,복권 발행/판매업,복사업,볼링장,부동산 중개/대리업,분류 안된 외국식 음식점,뷔페,비디오방,빵/도넛,사무기기 소매업,사업/무형 재산권 중개업,사업시설 유지·관리 서비스업,사진기/기타 광학기기 소매업,사진촬영업,사회교육시설,산부인과 의원,"산업설비, 운송장비 및 공공장소 청소업",상용 인력 공급 및 인사관리 서비스업,생맥주 전문,생수/음료 소매업,서점,성형외과 의원,세무사,세탁소,셀프 빨래방,소고기 구이/찜,"소독, 구충 및 방제 서비스업",수산물 소매업,수상/해양 레저업,수영장,슈퍼마켓,스쿼시/라켓볼장,스포츠/레크리에이션 용품 대여업,시각 디자인업,시계/귀금속 소매업,시계/귀금속/악기 수리업,시장 조사 및 여론 조사업,신경/정신과 의원,신발 소매업,실/섬유제품 소매업,아이스크림 할인점,아이스크림/빙수,악기 소매업,안경렌즈 소매업,안과 의원,애완동물/애완용품 소매업,액세서리/잡화 소매업,약국,얼음 소매업,여관/모텔,여성 의류 소매업,여행사,예술품 소매업,예식장업,옥외/전시 광고 대행업,외과 의원,외국어학원,요가/필라테스 학원,요리 주점,요양병원,우유 소매업,운동용품 소매업,운전학원,유사 의료업,유아용 의류 소매업,음반/비디오물 대여업,음반/비디오물 소매업,음악학원,의료기기 소매업,의류 대여업,의류/이불 수선업,이비인후과 의원,인테리어 디자인업,일반 유흥 주점,일반병원,일식 면 요리,일식 카레/돈가스/덮밥,일식 회/초밥,임시/일용 인력 공급업,입시·교과학원,자동차 대여업,자동차 부품 소매업,자동차 세차장,자동차 정비소,자전거 소매업,장난감 소매업,장례식장,전/부침개,전기용품/조명장치 소매업,전문자격/고시학원,전시/컨벤션/행사 대행 서비스업,전자 게임장,정육점,제품 디자인업,조경 유지·관리 서비스업,족발/보쌈,종합 스포츠시설,종합병원,주류 소매업,주방/가정용품 소매업,주유소,중고 상품 소매업,중국집,직원 훈련기관,채소/과일 소매업,철물/공구 소매업,청소년 수련시설,체형/비만 관리,치과병원,치과의원,치킨,침구류/커튼 소매업,카페,캠핑/글램핑,컴퓨터 학원,컴퓨터/노트북/프린터 수리업,컴퓨터/사무기기 대여업,컴퓨터/소프트웨어 소매업,타이어 소매업,탁구장,태권도/무술학원,테니스장,토스트/샌드위치/샐러드,파스타/스테이크,패밀리레스토랑,패션/섬유/기타 전문 디자인업,펜션,편의점,포장/충전업,피부 관리실,피부/비뇨기과 의원,피자,한방병원,한복 소매업,한의원,해산물 구이/찜,핸드폰 소매업,핸드폰/통신장비 수리업,행정사,헬스장,호텔/리조트,화장터/묘지/납골당,화장품 소매업,환경 관련 엔지니어링 서비스업,횟집,총인구수,총가구수,가구당인구수,평균소득금액,포토부스 개수,위도,경도,임대료,학교 개수,대학교 개수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,월,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
강남구,79,171,10,132,10,96,74,7,43,3,303,188,22,16,11,1219,249,179,978,5307,279,5,211,72,112,228,3192,45,465,409,132,323,209,116,77,246,82,2,74,59,231,75,15,122,574,328,13,12,76,75,36,37,241,80,135,80,123,20,964,80,10,22,6,621,240,0,216,124,35,408,222,58,56,106,102,263,84,635,53,84,63,90,2,222,17,13,51,8,130,156,1501,3,140,12,2390,77,140,203,171,23,381,597,14,38,48,7,3620,2,14,1,462,32,311,197,11,1311,28,50,27,78,180,21,73,521,1368,299,30,71,42,23,6,5,388,8,19,661,248,9,155,45,107,49,6,30,17,182,30,147,116,485,2,85,645,438,281,51,82,58,205,644,827,10,2,207,13,88,57,1,16,125,117,181,171,21,520,286,23,45,57,789,188,1194,63,48,89,213,21,40,23,17,38,26,669,4,64,205,10,69,23,3,96,253,41,74,371,134,59,83,6,83,11,280,315,72,2102,1,46,140,30,89,3,11,65,67,70,57,7,183,38,891,20,765,419,354,8,44,131,119,200,34,138,409,77,4,848,69,178,727192,297919,2.484193548387097,12300.953548387097,32.0,37.51721546513164,127.035698181364,64.67142857142856,77,0.0,3329119878,7.87593984962406,5373903030514.0,1249994747522.0,671045881890.0,416167138419.0,611275149358.0,947787316316.0,222262676305.0,160880255074.0,861983011138.0,232506854492.0,2.4210526315789473,56280753841517,1698684908,43857179477508,12423574364009,8330545062594,8783713644483,8486863216809,8745619658788,9510437894834,7976820247432,4446754116577,1144365606788,5536897646218,14614472341847,14558096731744,15926840391150,4500081123770,23387422524268,26785823571353,315346974928,8222732063033,12118415840409,13203178965785,10071577984059,6242026215241,1346268784,352416124,261628905,267805663,267239111,270998566,278596539,207859415,144556709,50906073,252286743,485460921,336199058,434571457,139260650,809629197,783222948,32816915,400716500,437568336,342230785,239682674,139835936
강동구,61,34,4,35,3,49,96,5,17,1,127,43,9,12,19,126,138,7,126,250,56,3,67,56,6,7,198,4,53,28,20,183,119,70,66,34,38,4,24,26,105,37,12,16,46,71,5,0,11,25,4,13,32,12,41,13,29,6,406,13,3,8,2,326,77,1,53,37,29,194,225,58,21,98,18,98,49,310,50,31,33,52,10,93,9,17,17,9,56,60,937,5,111,4,747,37,9,38,44,50,3,10,2,40,12,2,1004,1,18,0,252,14,18,46,8,135,5,10,26,13,94,12,36,8,88,135,34,35,23,22,0,3,333,1,5,96,61,2,9,6,72,15,1,17,3,84,4,75,48,243,2,69,258,63,16,3,8,19,35,167,440,2,1,70,5,12,37,0,1,74,78,12,54,8,200,126,2,12,24,171,32,344,25,30,34,172,43,18,13,11,32,1,67,9,87,23,9,54,7,5,9,60,18,49,133,12,78,106,2,26,1,82,241,57,747,0,5,67,17,24,2,10,50,37,27,19,1,18,7,382,9,221,52,152,8,8,44,88,146,10,17,130,3,1,188,13,95,476478,191113,2.556842105263158,6056.718947368421,5.0,37.542221863425,127.12866892591,56.1,60,0.0,1448545564,6.465263157894737,4572765457933.0,1195847013956.0,556712668478.0,336828528605.0,590213243765.0,750732498706.0,180745326328.0,137107381810.0,633137023028.0,191441773257.0,2.4210526315789473,12600205115926,557268920,9447262594620,3152942521306,1860743552265,1849464944260,1848985675940,1834771215418,2053297206737,1992282575808,1160659945498,318505022714,1288502293969,2993417913555,3165897155981,3833161513113,1000721216594,6030615070329,5896822464157,76968469326,1241426465239,2085369088161,3199993276759,2781384234876,2542309885091,409666414,147602506,82324127,79948799,80510269,80255752,86627467,85994475,61608031,20956680,70170552,124172173,123290538,164963588,53715389,291813457,255484813,10721451,95672750,113365566,122241287,108008961,97288621
강북구,42,27,0,18,4,30,86,8,5,0,58,5,2,3,18,83,119,5,76,106,33,2,23,50,4,8,131,1,33,14,11,161,79,44,48,23,48,2,19,12,45,19,10,8,25,63,3,0,10,12,9,7,12,9,18,2,36,3,287,4,1,7,0,236,36,4,35,25,19,152,264,44,25,81,6,40,25,262,51,14,18,30,6,55,7,30,20,5,38,15,694,8,95,1,673,21,8,19,17,26,0,9,1,35,6,5,589,0,3,3,136,5,9,19,3,93,2,2,12,4,108,7,26,3,61,105,22,27,18,12,0,0,264,1,5,68,50,2,4,4,47,12,2,11,0,49,4,46,41,164,1,127,146,40,7,2,5,10,4,74,419,2,3,24,1,12,16,0,3,25,50,6,43,1,162,100,1,12,8,97,22,124,4,15,41,129,15,18,9,9,29,2,32,12,57,9,0,63,2,1,4,44,9,53,103,5,59,63,4,15,1,40,194,39,510,0,0,55,6,30,1,7,37,8,14,17,1,15,4,283,6,167,29,86,1,6,16,65,116,9,9,62,4,2,118,3,58,319573,140244,2.282857142857143,3587.5157142857142,6.0,37.62586139484225,127.0262233533565,37.25,34,2.0,1906439257,5.454428754813864,5885684673545.0,1609199666130.0,702033564411.0,424344566640.0,808265741439.0,947006932774.0,212803729757.0,177437044162.0,759898802238.0,244694625994.0,2.4210526315789473,8069877498633,368468562,5963295306016,2106582192617,1180492100802,1176644697366,1154699310167,1156029320695,1295429876986,1298855431440,807726761177,289187784160,850716088997,1759218844132,1971861877484,2462561547588,736331356272,3944525010732,3786283633712,47997238603,1012880707747,1296112585255,1743759372673,1860358927318,1769692600742,269787910,98680652,54889994,52584233,52323395,52492313,57497975,57649192,41031460,16849498,46685588,74564192,80484587,110148471,39736226,192897652,171556252,5467232,68074015,69310667,75631994,76654338,69314790
강서구,73,61,6,33,17,64,106,8,19,0,163,76,5,12,27,254,166,13,193,816,80,7,90,57,38,26,634,11,109,47,47,252,130,62,51,80,50,0,37,31,62,50,13,26,79,128,7,6,36,30,13,29,93,32,44,32,63,5,423,14,6,16,0,451,73,4,72,41,26,285,299,62,32,107,12,102,45,448,63,47,55,53,4,90,20,9,34,4,74,59,1056,7,119,4,1146,57,28,50,63,51,18,29,4,56,14,12,1319,2,13,0,320,25,38,70,1,229,8,11,20,39,137,10,47,9,258,201,51,46,30,56,2,4,398,3,8,218,73,0,21,7,59,11,3,24,6,96,7,105,43,252,0,97,253,280,11,9,18,21,21,269,642,1,4,70,7,15,42,1,3,98,83,12,58,7,275,166,6,27,31,276,51,386,67,49,88,272,27,29,13,4,45,2,123,13,89,84,5,65,5,4,8,96,35,57,211,28,76,87,2,50,4,85,319,52,1041,0,6,111,22,68,8,10,62,43,34,32,7,48,19,591,18,406,57,206,6,4,54,106,197,16,46,170,17,5,351,31,83,993742,423156,2.3439393939393938,5025.340909090909,10.0,37.5364589888242,126.843979791872,28.7,80,4.0,2823685450,6.512352309344791,10385963703989.0,2631769076898.0,1253600267626.0,756668630839.0,1311215732631.0,1750613792570.0,394450570289.0,306429901849.0,1547511075973.0,433704655314.0,2.4210526315789473,16313770851952,749725139,12338729310501,3975041541451,2445469796066,2424539743147,2427956631181,2409729886222,2631033253885,2538062828177,1436978713274,565265581758,1995288920444,3795031633356,3965294690855,4668748896992,1324141128547,7872014408487,7080390251589,77427423463,1752438295613,3106688630535,3714795849473,3314737600857,2986324721995,555564900,194160239,112148698,108268816,108512030,109317089,117318267,114015435,80144804,30490454,102039013,163709069,157337784,217928068,78220751,389722416,338413050,11073122,140131407,181072775,159164160,128963459,107730788
관악구,90,39,2,26,2,48,96,2,17,1,100,31,9,2,10,128,191,5,158,277,48,3,39,56,9,9,249,6,35,45,20,211,96,65,67,49,40,8,26,12,300,29,6,8,64,97,5,3,5,15,19,19,41,5,35,20,65,6,359,9,2,10,1,374,48,2,69,21,31,207,279,61,37,75,5,245,28,337,63,32,45,55,4,68,25,36,19,3,48,36,927,9,88,0,914,40,28,49,50,69,8,29,2,59,36,1,993,1,4,2,198,3,15,37,0,158,2,9,16,6,173,9,42,5,81,237,70,33,22,25,1,3,354,2,2,145,73,7,9,11,58,6,3,20,8,79,3,59,37,219,0,93,173,60,15,4,7,11,25,162,569,1,1,39,3,14,19,1,2,64,55,9,55,6,210,219,2,21,21,199,26,223,8,20,48,146,13,20,6,11,37,14,54,15,78,31,4,61,3,1,5,62,15,64,183,10,88,102,2,36,0,57,284,39,812,0,9,67,16,37,3,10,46,31,25,31,2,11,19,458,9,238,40,165,1,9,22,97,148,19,28,129,9,0,189,6,81,502641,259822,1.9933333333333334,5059.693333333334,11.0,37.482681450054855,126.940164197813,65.75,55,1.0,1921323652,5.980085348506401,7620100071386.0,1992685423135.0,942227606293.0,579213522142.0,963599175083.0,1214784538840.0,287890603323.0,249372922293.0,1055988743214.0,334337537063.0,2.4210526315789473,12328566663722,660895448,9015363636504,3313203027218,1774398103665,1791957745112,1732175582593,1759686712692,1957145492442,1994012648211,1319190379007,517019830616,1115113562629,2510913117144,2798694272766,4028924754161,1357901126406,6159638289670,5770084470787,88430067512,2542106387714,2581588816433,2308847262253,2322265750254,2086494041769,475245028,185650420,95833269,92689446,93159167,93139604,100423542,104202241,81448179,37773658,73238506,120044687,128706046,212248705,88883845,362616224,292668268,10675567,195047729,156186743,106000751,102927737,84447136
광진구,55,49,2,44,3,94,83,6,12,1,100,36,6,6,11,218,147,8,162,298,56,3,34,57,7,7,240,7,59,32,22,169,90,57,84,48,38,2,31,23,107,29,7,14,63,97,2,3,17,18,13,24,41,12,52,15,75,2,299,14,3,8,0,308,61,1,47,13,27,196,321,62,21,88,8,83,28,316,43,23,38,45,4,116,31,21,17,2,47,37,788,4,75,1,767,39,10,41,42,40,3,26,0,41,38,2,888,0,3,4,221,10,20,36,21,236,4,7,13,13,131,9,24,3,88,143,37,27,26,15,2,1,270,0,14,169,71,1,11,7,76,10,3,22,10,75,2,57,44,183,0,69,218,83,21,7,9,17,31,169,480,0,5,47,3,14,23,3,5,51,55,11,55,7,179,59,3,18,22,197,35,198,30,28,28,116,36,26,8,6,34,4,83,6,65,26,5,50,4,2,10,69,21,48,199,15,46,74,1,19,3,47,224,35,801,0,3,57,22,142,0,9,27,23,27,23,3,33,15,402,11,207,36,123,3,1,28,61,364,15,35,112,5,1,183,13,77,353967,160944,2.215333333333333,5643.548666666667,18.0,37.540168589968495,127.07093603487533,43.26666666666667,42,4.0,2024589042,6.264580369843528,6492078657600.0,1711950812859.0,790816647675.0,483786066412.0,830725113068.0,1060184316165.0,236965297497.0,204717484721.0,893090567927.0,279842351276.0,2.4210526315789473,12408440569966,563732362,9073490101891,3334950468075,1808210142083,1706310203415,1804225713925,1775927380225,1978816662243,2009710071394,1325240396681,407233664770,1035895860481,2673239159348,3124392129428,3963584378010,1204095377929,5934797570728,5431176676522,115358093959,2200900865273,2233983115337,2560525548032,2484826535900,1770394895607,408397028,155335334,82120782,79092155,79996056,80366775,86821260,89187189,66148145,25683332,66258038,113466799,116152025,174819947,67352221,290409240,262372825,11818727,159291111,121976129,100717835,94159807,64817882
구로구,52,42,1,31,4,71,89,12,9,0,117,86,4,9,13,153,111,15,77,664,96,4,59,46,39,41,458,10,84,50,29,185,113,52,35,54,54,0,29,19,86,33,11,17,73,74,8,2,15,11,8,10,152,19,13,20,36,2,295,15,5,11,0,306,37,2,65,35,28,148,273,57,22,73,14,53,29,283,42,22,56,37,1,107,9,16,19,0,62,22,695,26,91,1,819,35,24,41,35,43,18,34,3,50,11,5,700,4,5,0,176,17,29,67,11,93,9,0,10,25,181,13,29,4,155,107,20,36,23,14,0,3,424,0,5,131,54,2,10,2,66,20,0,19,7,72,3,35,39,181,0,113,215,150,12,5,12,8,22,132,434,6,5,47,2,8,35,0,4,42,66,8,49,1,177,77,6,19,20,126,51,169,18,37,48,142,19,32,10,5,53,4,71,14,54,60,3,45,2,1,6,118,27,57,299,49,56,93,2,43,1,44,241,37,603,0,11,71,19,87,3,12,25,23,19,17,3,51,8,368,14,171,21,119,0,12,19,70,391,14,54,92,10,3,217,34,78,497932,206687,2.4266666666666667,3995.732222222223,6.0,37.4951939156691,126.844904068063,47.1,54,3.0,2058230310,6.28393351800554,5707804640963.0,1552699397024.0,682429765539.0,412898069954.0,760524737934.0,909040772002.0,213550724827.0,173116896647.0,768564228321.0,234980048715.0,2.4210526315789473,12906430259230,555743052,10510331159564,2396099099666,2081997448195,2103370191221,2050926424846,2054858448012,2219178647290,1498504125140,897594974526,262427307290,1716572431807,3364154665835,3418292162056,3259161932565,885821759677,6510070108159,4765764487273,47203200263,1215924319268,2037082537119,2922639984478,2934563346045,2118413725089,429259008,126484044,86920304,83612870,84141315,85032953,89551566,74590651,51893393,17924803,81873333,134928958,115868436,154707567,50439955,295661748,239567663,7445548,104266334,128758050,115512089,99544953,79702681
금천구,37,31,3,27,2,45,75,5,6,1,81,187,7,8,20,233,118,9,40,1388,75,6,38,34,31,39,921,13,144,64,45,173,77,27,46,48,35,0,21,10,36,30,7,25,67,65,3,11,24,24,5,10,411,13,12,12,31,3,397,8,1,10,1,261,27,1,103,21,14,86,180,36,12,67,29,40,13,249,26,15,39,20,2,172,10,16,13,3,58,20,500,2,66,3,662,24,71,34,37,41,48,18,1,28,5,4,808,6,9,0,111,17,40,83,6,98,8,3,18,35,89,4,25,1,253,92,24,25,16,9,0,0,256,2,10,360,45,1,16,1,86,23,1,12,5,44,2,55,33,129,2,65,227,141,12,0,11,8,15,48,308,1,3,74,1,10,28,0,2,26,46,4,68,2,289,97,1,11,14,96,59,73,19,19,44,147,9,17,16,3,33,8,119,9,47,255,4,36,0,2,2,59,13,36,169,33,49,59,3,21,1,29,149,28,553,1,11,85,44,71,3,8,19,13,18,10,2,168,0,321,48,101,10,87,0,0,18,39,170,22,43,64,8,0,147,76,50,249419,115254,2.2350000000000003,4208.728,0.0,37.4771021273998,126.898289307994,31.2,33,0.0,910719908,5.692520775623269,3060068723856.0,843578019413.0,368140026796.0,224018588494.0,415975057444.0,486661997878.0,114487584422.0,94451579212.0,384813297474.0,127942572723.0,2.4210526315789473,22277376726726,616949998,15011346693820,7266030032906,2832296827607,2933057860414,2984447300825,2976839286965,3284705418009,3975897552526,3290132480380,193928178006,1980690374862,6027703201106,7268560677491,6068376951363,738117343898,10597838741160,10524099235134,53711831900,2263850135489,4421373557116,4766516425009,5466483421976,4149991019358,453180373,163769625,89058090,88678742,89301125,90598256,95544160,90312322,73457303,12039150,85334869,169375431,148997179,166039454,35163915,313979999,283858909,4466510,114200357,153498689,128845585,115504830,81322560
노원구,59,40,6,34,8,37,60,6,8,0,70,22,2,0,4,70,78,6,101,121,34,4,64,66,6,3,114,2,30,35,26,147,99,53,40,36,27,1,29,13,53,19,5,8,34,74,3,1,9,5,15,17,24,8,22,6,38,3,327,11,5,12,0,308,48,1,78,19,15,161,234,64,14,89,7,135,41,258,51,23,24,32,5,50,7,10,18,8,53,42,670,2,86,0,647,47,0,41,36,28,1,15,3,36,28,5,505,0,5,1,229,8,14,11,1,106,3,10,8,4,111,4,40,12,31,89,25,28,22,15,0,3,302,2,4,44,50,1,2,2,70,12,3,24,8,79,5,51,41,205,1,34,323,54,10,3,8,13,27,154,287,4,2,34,5,14,37,2,0,68,66,5,44,4,168,76,2,18,27,142,14,373,12,16,39,116,21,14,12,5,28,2,48,7,54,20,2,54,8,3,5,52,20,31,131,8,43,66,1,16,3,61,276,35,656,0,5,51,5,18,5,14,51,30,27,27,5,8,3,324,5,209,50,126,2,3,33,72,114,13,14,109,1,0,190,7,74,511982,204210,2.5373684210526317,3808.1968421052634,14.0,37.6610577421447,127.073630157913,26.2,93,6.0,1905724261,6.475232198142415,4942022564953.0,1353560850896.0,591694164147.0,346499813947.0,665852226703.0,776053416103.0,181506887387.0,147888597790.0,675017130961.0,203949477019.0,2.4210526315789473,12449239424814,574732710,8911951903335,3537287521479,1716120496897,1753679235738,1832048528373,1724370223192,1885733419135,2107899039037,1429388482442,281551918132,1061293507754,2892070442429,3317540398691,3970799835003,925983322805,5593310610987,6478836221105,109278351329,1360444007904,1877582151799,3436205011098,3182795657383,2105872120333,416594386,158138324,82749622,81274113,84258636,81238133,87073882,90298159,67840165,18286342,67965727,127710254,135099038,174307590,51363759,282391970,286253682,16091039,111163618,100592726,135579753,122783069,82435029
도봉구,31,15,5,9,5,45,60,1,9,0,62,10,2,2,11,49,80,2,47,83,27,4,32,46,3,0,84,0,20,13,12,123,73,40,51,20,19,2,16,6,22,11,4,5,15,60,1,0,4,5,10,4,7,2,15,4,26,3,176,8,3,7,0,203,30,0,18,14,21,116,163,35,17,75,0,51,24,202,45,13,10,21,2,48,5,10,19,1,32,22,577,0,81,0,441,22,5,62,17,23,1,69,0,24,3,3,424,0,6,0,134,8,7,15,3,58,1,0,7,1,99,7,20,0,43,71,27,16,19,10,0,1,258,0,0,41,31,1,2,2,20,5,0,12,2,48,1,49,28,109,1,25,88,26,6,2,4,8,4,86,232,2,2,42,1,8,15,1,0,30,30,3,30,0,156,49,4,9,9,83,11,155,10,18,31,132,14,8,7,4,34,2,32,12,59,7,3,33,3,1,1,38,17,24,76,3,50,52,2,17,1,21,188,31,400,0,2,31,11,23,6,8,31,17,10,4,1,8,1,244,10,90,8,72,3,0,7,58,106,4,4,60,2,0,100,3,59,315979,128378,2.455714285714286,3728.1692857142853,1.0,0.0,0.0,0.0,46,1.0,1589651310,5.748355263157895,4872637148022.0,1341900096606.0,581249256774.0,345042963145.0,672873200829.0,778106001512.0,174647692960.0,145475413319.0,630586897634.0,202755625243.0,2.4210526315789473,6638296059710,337144700,5004549085385,1633746974325,1001232029440,1000481126351,986855755619,951578295386,1064401878589,990357698532,643389275793,153762759427,718747218278,1570734927284,1817881311917,1888299359173,488870483631,3369536709829,3046493478946,45616775235,575118081751,929922838894,1484135117708,1672766877622,1708464869850,248260351,88884349,50883014,48569995,48204908,48645613,51956821,51414582,37469767,12485402,46176465,70715640,75522388,98951243,33293562,177636666,156179682,7433972,54074731,60711162,69689644,74098111,67808546
