구_동,PC방,가구 소매업,가발 소매업,가방 소매업,가스 충전소,가전제품 소매업,가전제품 수리업,가정용 연료 소매업,가죽/가방/신발 수선업,가축 사료 소매업,건강보조식품 소매업,건물 및 토목 엔지니어링 서비스업,건설/건축자재 소매업,건설기계/장비 대여업,건어물/젓갈 소매업,건축 설계 및 관련 서비스업,건축물 일반 청소업,결혼 상담 서비스업,경양식,경영 컨설팅업,고용 알선업,곡물/곡분 소매업,골프 연습장,곱창 전골/구이,공인노무사,공인회계사,광고 대행업,광고 매체 판매업,광고물 설계/제작업,교육컨설팅업,구내식당,국/탕/찌개류,국수/칼국수,그 외 기타 간이 음식점,그 외 기타 개인/가정용품 수리업,그 외 기타 교육기관,그 외 기타 상품 전문 소매업,그 외 기타 숙박업,그 외 기타 종합 소매업,기념품점,기숙사/고시원,기타 개인/가정용품 대여업,기타 건설/건축자재 소매업,기타 광고 관련 서비스업,기타 교육지원 서비스업,기타 기술/직업 훈련학원,기타 동남아식 전문,기타 법무관련 서비스업,기타 사무 지원 서비스업,기타 산업용 기계/장비 대여업,기타 서양식 음식점,기타 스포츠시설 운영업,기타 엔지니어링 서비스업,기타 여행 보조/예약 서비스업,기타 예술/스포츠 교육기관,기타 오락관련 서비스업,기타 오락장,기타 운송장비 대여업,기타 의류 소매업,기타 의원,기타 일식 음식점,기타 한식 음식점,기타 회계 관련 서비스업,김밥/만두/분식,꽃집,낚시터 운영업,남성 의류 소매업,내과/소아과 의원,냉면/밀면,네일숍,노래방,닭/오리고기 구이/찜,담배/전자담배 소매업,당구장,도시 계획 및 조경 설계 서비스업,독서실/스터디 카페,동물병원,돼지고기 구이/찜,떡/한과,레크리에이션 교육기관,마라탕/훠궈,마사지/안마,만화방,명함/간판/광고물 제작,모터사이클 및 부품 소매업,모터사이클 수리업,목욕탕/사우나,무도 유흥 주점,문구/회화용품 소매업,미술학원,미용실,바둑/장기/체스 경기 운영업,반찬/식료품 소매업,방사선 진단/병리 검사 의원,백반/한정식,버거,번역/통역 서비스업,법무사,베트남식 전문,벽지/장판/마루 소매업,변리사,변호사,복 요리 전문,복권 발행/판매업,복사업,볼링장,부동산 중개/대리업,분류 안된 외국식 음식점,뷔페,비디오방,빵/도넛,사무기기 소매업,사업/무형 재산권 중개업,사업시설 유지·관리 서비스업,사진기/기타 광학기기 소매업,사진촬영업,사회교육시설,산부인과 의원,"산업설비, 운송장비 및 공공장소 청소업",상용 인력 공급 및 인사관리 서비스업,생맥주 전문,생수/음료 소매업,서점,성형외과 의원,세무사,세탁소,셀프 빨래방,소고기 구이/찜,"소독, 구충 및 방제 서비스업",수산물 소매업,수상/해양 레저업,수영장,슈퍼마켓,스쿼시/라켓볼장,스포츠/레크리에이션 용품 대여업,시각 디자인업,시계/귀금속 소매업,시계/귀금속/악기 수리업,시장 조사 및 여론 조사업,신경/정신과 의원,신발 소매업,실/섬유제품 소매업,아이스크림 할인점,아이스크림/빙수,악기 소매업,안경렌즈 소매업,안과 의원,애완동물/애완용품 소매업,액세서리/잡화 소매업,약국,얼음 소매업,여관/모텔,여성 의류 소매업,여행사,예술품 소매업,예식장업,옥외/전시 광고 대행업,외과 의원,외국어학원,요가/필라테스 학원,요리 주점,요양병원,우유 소매업,운동용품 소매업,운전학원,유사 의료업,유아용 의류 소매업,음반/비디오물 대여업,음반/비디오물 소매업,음악학원,의료기기 소매업,의류 대여업,의류/이불 수선업,이비인후과 의원,인테리어 디자인업,일반 유흥 주점,일반병원,일식 면 요리,일식 카레/돈가스/덮밥,일식 회/초밥,임시/일용 인력 공급업,입시·교과학원,자동차 대여업,자동차 부품 소매업,자동차 세차장,자동차 정비소,자전거 소매업,장난감 소매업,장례식장,전/부침개,전기용품/조명장치 소매업,전문자격/고시학원,전시/컨벤션/행사 대행 서비스업,전자 게임장,정육점,제품 디자인업,조경 유지·관리 서비스업,족발/보쌈,종합 스포츠시설,종합병원,주류 소매업,주방/가정용품 소매업,주유소,중고 상품 소매업,중국집,직원 훈련기관,채소/과일 소매업,철물/공구 소매업,청소년 수련시설,체형/비만 관리,치과병원,치과의원,치킨,침구류/커튼 소매업,카페,캠핑/글램핑,컴퓨터 학원,컴퓨터/노트북/프린터 수리업,컴퓨터/사무기기 대여업,컴퓨터/소프트웨어 소매업,타이어 소매업,탁구장,태권도/무술학원,테니스장,토스트/샌드위치/샐러드,파스타/스테이크,패밀리레스토랑,패션/섬유/기타 전문 디자인업,펜션,편의점,포장/충전업,피부 관리실,피부/비뇨기과 의원,피자,한방병원,한복 소매업,한의원,해산물 구이/찜,핸드폰 소매업,핸드폰/통신장비 수리업,행정사,헬스장,호텔/리조트,화장터/묘지/납골당,화장품 소매업,환경 관련 엔지니어링 서비스업,횟집,포토부스 개수,학교 개수,대학교 개수
강남구 개포동,7,6,0,1,0,6,6,1,1,0,18,20,2,1,1,110,23,1,10,95,5,0,8,2,1,2,71,3,22,8,9,13,8,8,7,9,3,0,3,3,9,7,0,3,14,3,0,0,3,6,1,5,20,2,9,1,2,1,24,1,1,1,0,27,8,0,1,7,1,12,17,7,2,13,7,19,8,20,9,7,1,2,0,19,2,1,1,0,2,9,84,0,13,0,90,2,0,6,3,1,3,3,0,3,0,0,280,0,1,0,19,10,8,12,1,43,1,2,5,2,4,3,9,1,10,29,3,3,6,6,0,0,35,0,0,23,3,1,1,2,2,4,1,2,3,12,0,6,2,30,0,2,15,17,6,0,0,5,7,38,21,1,1,8,0,6,0,0,0,16,8,1,6,2,45,3,0,1,2,15,2,46,3,6,9,34,3,4,3,0,4,0,23,0,7,11,1,4,3,0,4,14,1,2,10,1,8,10,0,4,1,12,20,5,67,0,0,15,3,9,1,4,10,1,4,1,0,12,0,47,2,13,3,21,0,3,9,7,20,2,3,9,0,0,33,2,7,0.0,12.0,0.0
강남구 논현동,13,67,3,6,0,16,14,1,6,0,44,25,12,4,2,228,52,42,132,826,36,1,32,20,6,38,868,10,129,45,8,65,37,15,24,28,14,1,10,15,34,20,5,27,51,73,0,1,11,17,6,2,36,17,23,12,32,1,112,19,0,4,4,77,58,0,20,22,8,64,36,13,11,13,20,11,13,141,8,6,6,16,0,65,3,3,9,5,16,6,215,0,15,2,378,8,17,19,27,7,27,50,1,5,4,1,482,1,1,0,68,6,40,34,2,442,6,13,2,11,27,4,10,133,182,59,3,18,7,1,1,1,46,1,1,162,31,0,39,5,10,11,1,3,1,20,2,40,16,77,0,16,52,94,32,15,27,8,12,80,159,1,0,54,2,15,5,0,1,16,13,62,26,3,100,42,9,5,3,112,34,41,11,5,9,28,0,10,7,3,6,2,141,1,8,43,1,15,4,0,13,32,6,14,56,18,10,20,0,10,2,45,50,12,336,1,5,31,8,8,0,0,3,12,10,10,1,36,8,134,3,157,63,54,4,7,16,25,34,2,13,72,10,0,120,5,31,9.0,3.0,0.0
강남구 대치동,11,10,1,6,3,18,7,1,6,0,37,13,1,0,1,64,38,5,48,674,28,0,29,7,15,26,262,3,44,101,12,33,34,22,7,35,8,0,14,3,45,7,1,14,68,22,7,1,11,7,8,5,22,2,7,10,6,1,99,4,2,0,1,103,17,0,23,8,8,42,25,7,9,18,7,124,7,64,11,10,15,11,0,20,1,2,11,0,22,48,168,0,16,1,251,14,14,23,23,5,33,62,0,4,9,0,456,0,3,0,50,2,32,31,3,33,7,4,2,9,23,3,15,4,107,29,3,7,3,0,0,1,58,1,4,37,26,0,12,5,20,5,0,4,3,29,2,13,10,48,0,6,94,36,21,4,6,8,39,84,62,1,0,24,4,9,5,0,0,12,10,1,13,3,46,16,2,4,15,85,19,717,7,5,6,21,2,4,1,4,5,10,66,0,11,11,0,10,2,0,9,10,2,7,49,10,9,10,0,7,1,27,54,9,258,0,14,19,1,13,0,3,8,8,12,7,1,8,3,127,1,69,29,39,1,0,13,9,18,2,13,48,7,0,75,13,20,0.0,11.0,0.0
강남구 도곡동,3,4,0,6,2,4,5,1,3,0,11,13,0,3,0,106,9,2,53,122,5,1,15,4,1,8,68,0,12,15,6,13,10,6,2,8,2,0,5,3,18,0,0,3,16,13,1,0,2,1,1,0,10,5,10,2,1,0,27,3,0,0,0,30,9,0,2,8,1,15,11,1,3,5,13,14,2,20,2,2,2,4,0,6,1,1,2,0,11,11,69,1,10,2,106,5,1,1,8,0,14,23,2,0,1,0,132,0,0,0,31,3,15,6,0,30,0,2,0,1,8,1,2,0,28,18,2,5,7,0,0,0,19,0,1,20,8,1,1,4,1,5,0,2,0,8,1,7,4,27,0,0,25,16,4,2,4,4,8,44,28,2,0,10,1,5,3,0,2,13,2,2,2,2,26,4,1,3,0,27,4,23,2,0,4,20,0,1,1,0,3,1,23,0,5,6,1,1,1,1,3,18,7,1,17,7,3,0,0,6,0,8,12,4,95,0,1,6,0,4,2,0,2,2,3,1,1,3,0,43,0,30,10,10,1,0,8,5,8,1,5,24,1,0,25,3,8,0.0,9.0,0.0
강남구 삼성동,6,11,0,19,1,7,4,2,4,1,45,19,1,1,1,156,21,12,86,925,47,0,26,2,11,38,358,3,42,52,29,37,29,15,4,31,6,0,7,4,18,4,0,9,58,22,2,1,10,6,1,1,37,13,7,7,6,3,133,9,0,1,0,58,26,0,34,5,4,32,15,2,5,9,9,9,9,74,2,8,3,8,0,16,1,0,5,0,12,6,106,0,15,3,234,7,17,24,24,5,25,143,1,0,5,1,434,0,3,0,55,3,45,25,1,110,5,5,1,13,19,1,6,8,120,33,1,9,4,1,0,0,42,2,2,70,24,1,23,5,15,8,1,2,3,19,1,11,22,33,0,8,104,64,36,5,10,5,19,73,71,0,0,24,0,4,20,1,1,8,9,2,17,3,46,27,2,3,5,70,23,42,8,6,5,17,0,6,2,0,2,2,77,0,9,13,2,8,4,0,14,17,3,4,42,23,5,8,1,4,0,22,25,12,267,0,2,10,4,8,0,2,4,8,8,5,3,19,6,98,4,56,21,42,1,5,8,14,19,1,21,35,18,2,92,11,18,1.0,5.0,0.0
강남구 세곡동,0,3,0,0,1,0,1,0,0,1,1,1,0,1,0,4,2,0,5,13,1,1,2,1,0,0,6,0,0,4,0,3,0,0,2,4,0,0,2,0,0,0,0,0,1,5,0,0,0,2,0,0,1,0,1,1,0,0,5,0,0,0,0,7,3,0,0,1,0,2,1,1,0,1,1,3,0,4,1,1,0,1,0,2,0,0,0,0,0,2,16,0,3,0,16,1,0,0,1,0,0,1,0,2,0,0,26,0,0,0,5,0,0,4,0,7,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,11,0,0,2,1,0,0,1,1,0,1,1,0,1,1,1,0,6,0,0,0,1,2,1,0,0,1,8,3,2,0,2,3,0,0,0,0,2,3,0,1,0,5,0,0,1,0,3,2,8,0,1,3,2,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,1,3,1,2,0,1,2,0,0,0,3,8,1,17,0,0,1,0,0,0,0,4,1,1,1,0,1,0,5,0,1,1,2,0,1,1,0,4,0,1,2,0,0,3,0,2,0.0,2.0,0.0
강남구 수서동,1,0,0,1,0,2,1,0,0,0,9,13,1,0,0,40,4,2,1,67,8,0,3,2,1,1,39,0,8,6,7,13,5,2,1,5,0,0,1,1,0,1,1,2,5,4,0,0,2,1,0,0,12,0,0,1,1,1,6,0,0,0,0,17,1,0,1,2,2,3,3,1,1,1,5,0,1,15,1,0,1,1,0,4,0,0,0,0,2,2,20,0,2,0,37,2,1,9,4,0,3,9,1,0,2,0,61,0,0,0,9,0,5,9,0,5,0,1,0,5,2,0,0,1,17,5,0,1,3,0,0,0,6,0,0,9,1,0,5,0,1,1,0,2,0,6,1,0,3,12,0,1,5,5,1,0,2,1,0,6,9,0,0,3,0,4,0,0,0,0,2,0,1,1,6,2,1,1,4,7,4,2,2,0,1,2,1,0,0,1,1,0,10,0,1,5,0,2,1,0,0,19,1,1,6,2,0,2,0,4,0,2,9,3,47,0,1,4,1,0,0,0,1,3,3,1,0,1,0,15,0,10,3,18,0,0,3,1,7,0,3,5,0,0,12,5,4,0.0,6.0,0.0
강남구 신사동,9,19,4,32,0,5,6,1,12,0,35,6,1,0,1,87,14,35,284,385,12,0,21,11,3,7,414,7,79,40,5,21,19,12,5,21,11,0,6,5,15,7,0,14,80,58,0,1,3,13,10,4,8,8,33,9,15,3,196,20,6,1,0,85,34,0,48,24,4,81,25,3,8,4,8,20,9,79,3,15,3,10,1,30,2,0,9,0,13,28,288,1,12,1,322,6,8,6,27,0,5,24,0,1,1,2,192,0,1,0,75,0,16,15,1,291,3,8,2,3,26,2,10,243,33,20,0,5,0,0,1,2,32,1,4,130,51,4,9,6,17,3,2,1,4,40,6,16,25,83,1,4,130,37,61,2,13,8,47,86,207,3,0,20,0,11,6,0,7,14,11,22,63,3,58,39,5,9,7,182,13,138,1,2,7,13,8,3,1,2,4,1,59,0,8,45,0,6,1,0,18,23,7,19,47,7,4,7,0,10,3,60,28,5,274,0,2,13,2,6,0,0,9,6,5,6,0,45,3,83,1,156,124,43,1,6,25,13,28,5,1,62,10,0,147,0,24,7.0,2.0,0.0
강남구 압구정동,0,5,0,13,0,3,0,0,0,0,2,0,0,0,0,0,1,0,10,6,0,0,1,0,0,0,4,0,0,1,6,0,2,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,3,0,0,0,70,0,0,0,0,13,1,0,28,1,1,5,0,0,0,1,0,1,2,2,4,0,0,1,0,0,0,0,0,0,2,0,15,0,3,0,25,0,0,0,2,0,0,0,0,1,0,0,29,0,0,0,16,0,1,2,0,2,0,0,0,0,1,0,1,0,0,9,0,1,0,2,1,0,17,0,0,0,14,0,0,0,7,0,0,1,0,3,0,0,1,5,0,0,77,0,1,0,0,0,0,3,1,0,0,0,0,1,4,0,0,2,0,1,6,0,4,0,0,0,0,7,2,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,8,1,0,1,3,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,2,0,7,2,4,2,3,0,0,0,1,0,0,0,1,0,0,8,0,0,0.0,6.0,0.0
강남구 역삼동,19,20,1,17,1,26,18,0,6,1,82,63,2,5,3,307,54,31,185,1795,127,0,51,18,70,96,866,14,97,102,32,106,51,29,14,85,29,1,17,16,86,25,5,34,244,95,3,5,23,17,6,16,82,27,34,28,56,9,194,12,0,13,1,150,43,0,32,24,5,110,67,20,14,34,25,47,14,168,6,20,30,24,1,43,6,3,11,1,39,25,235,1,24,3,734,26,71,105,44,2,269,262,8,14,24,2,1202,1,2,1,84,7,131,48,1,206,6,14,12,33,51,4,13,88,794,59,10,17,8,8,2,0,68,2,6,148,20,2,55,15,24,7,0,10,3,29,14,37,19,101,0,42,65,133,38,13,15,14,62,97,185,0,1,35,1,20,11,0,5,23,37,4,11,3,108,117,2,17,16,186,71,104,7,14,18,33,4,9,7,5,10,10,182,3,7,39,4,16,4,1,16,101,5,15,111,59,15,15,3,25,2,77,70,8,563,0,21,31,11,31,0,0,17,16,20,21,1,38,15,233,5,171,75,92,0,9,35,39,49,21,70,92,28,2,207,25,45,13.0,5.0,0.0
