상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,시,구,동,그외주소,구_동
MA010120220805448993,7세븐PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11590,동작구,11590550,상도3동,1159010200,상도동,1159010200103150022,1,대지,315,22.0,서울특별시 동작구 상도동 315-22,115904157458,서울특별시 동작구 성대로2길,7.0,,1159010200103150022025933,,서울특별시 동작구 성대로2길 7,156033,7042,,1,,126.931690754163,37.4993741619147,서울특별시,동작구,상도동,315-22,동작구 상도동
MA010120220805957161,라운지플스방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103630011,1,대지,363,11.0,서울특별시 마포구 서교동 363-11,114403113020,서울특별시 마포구 잔다리로,12.0,,1144012000103630011020649,홍석빌딩,서울특별시 마포구 잔다리로 12,121837,4041,,5,,126.921833739442,37.5509234026336,서울특별시,마포구,서교동,363-11,마포구 서교동
MA010120220806450914,애니락,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11350,노원구,11350665,상계3.4동,1135010500,상계동,1135010500100950199,1,대지,95,199.0,서울특별시 노원구 상계동 95-199,113503000004,서울특별시 노원구 덕릉로,740.0,,1135010500100950199006550,정진빌딩,서울특별시 노원구 덕릉로 740,139810,1648,,2,,127.07638106387,37.663656353033,서울특별시,노원구,상계동,95-199,노원구 상계동
MA010120220806510902,철려오락실,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11545,금천구,11545640,독산4동,1154510200,독산동,1154510200101790029,1,대지,179,29.0,서울특별시 금천구 독산동 179-29,115453117004,서울특별시 금천구 독산로,278.0,3.0,1154510200101790029007786,,서울특별시 금천구 독산로 278-3,153808,8555,,2,,126.903485007772,37.4715346347089,서울특별시,금천구,독산동,179-29,금천구 독산동
MA010120220806537645,풀타임피씨방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11680,강남구,11680600,대치1동,1168010600,대치동,1168010600105070001,1,대지,507,1.0,서울특별시 강남구 대치동 507-1,116802000003,서울특별시 강남구 남부순환로,2942.0,,1168010600105070001014390,풍림프라자,서울특별시 강남구 남부순환로 2942,135836,6291,,1,,127.062307522541,37.493635161919,서울특별시,강남구,대치동,507-1,강남구 대치동
MA010120220806529725,게임배틀PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,S95110,컴퓨터 및 주변 기기 수리업,11,서울특별시,11620,관악구,11620725,조원동,1162010200,신림동,1162010200105220002,1,대지,522,2.0,서울특별시 관악구 신림동 522-2,116203120003,서울특별시 관악구 난곡로,341.0,,1162010200105220002007590,창근빌딩,서울특별시 관악구 난곡로 341,151874,8767,,2,,126.913744289799,37.4844333136476,서울특별시,관악구,신림동,522-2,관악구 신림동
MA010120220806550199,런PC,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11350,노원구,11350600,공릉2동,1135010300,공릉동,1135010300102210002,1,대지,221,2.0,서울특별시 노원구 공릉동 221-2,113503005050,서울특별시 노원구 공릉로,172.0,,1135010300102210002015435,반야빌딩,서울특별시 노원구 공릉로 172,139800,1818,,3,,127.080005658922,37.6252644702563,서울특별시,노원구,공릉동,221-2,노원구 공릉동
MA010120220806717665,제나두PC강서,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11500,강서구,11500510,염창동,1150010100,염창동,1150010100102400021,1,대지,240,21.0,서울특별시 강서구 염창동 240-21,115003115008,서울특별시 강서구 양천로,583.0,,1150010100102400021028397,우림블루나인비즈니스센터,서울특별시 강서구 양천로 583,157779,7547,,,,126.86432805766,37.5571060005552,서울특별시,강서구,염창동,240-21,강서구 염창동
MA010120220806779746,쓰리팝PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11230,동대문구,11230730,휘경2동,1123010900,휘경동,1123010900102690026,1,대지,269,26.0,서울특별시 동대문구 휘경동 269-26,112303005032,서울특별시 동대문구 망우로,74.0,,1123010900102690026008007,,서울특별시 동대문구 망우로 74,130092,2496,,1,,127.061342797138,37.58958942943,서울특별시,동대문구,휘경동,269-26,동대문구 휘경동
MA010120220806787777,히든PC,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11305,강북구,11305645,우이동,1130510300,수유동,1130510300103190012,1,대지,319,12.0,서울특별시 강북구 수유동 319-12,113054124183,서울특별시 강북구 삼양로123길,6.0,12.0,1130510300103190012005544,,서울특별시 강북구 삼양로123길 6-12,142893,1029,,1,,127.015314952314,37.6453670117091,서울특별시,강북구,수유동,319-12,강북구 수유동
MA010120220806898516,라인업PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11440,마포구,11440655,서강동,1144011800,당인동,1144011800100120001,1,대지,12,1.0,서울특별시 마포구 당인동 12-1,114403113015,서울특별시 마포구 어울마당로,26.0,,1144011800100120001009646,,서울특별시 마포구 어울마당로 26,121180,4074,,1,,126.919914085119,37.5474909173663,서울특별시,마포구,당인동,12-1,마포구 당인동
MA010120220806895039,우리PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11545,금천구,11545690,시흥3동,1154510300,시흥동,1154510300109410001,1,대지,941,1.0,서울특별시 금천구 시흥동 941-1,115454151293,서울특별시 금천구 시흥대로28길,15.0,,1154510300109410001003680,,서울특별시 금천구 시흥대로28길 15,153861,8651,,2,,126.904610369007,37.4424410891513,서울특별시,금천구,시흥동,941-1,금천구 시흥동
MA010120220806912533,코아PC,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1121510500102160009,1,대지,216,9.0,서울특별시 광진구 자양동 216-9,112153000002,서울특별시 광진구 아차산로,380.0,,1121510500102160009011115,,서울특별시 광진구 아차산로 380,143851,5051,,,,127.084988295787,37.5366131933012,서울특별시,광진구,자양동,216-9,광진구 자양동
MA010120220807271293,하이파이브,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11380,은평구,11380520,불광1동,1138010300,불광동,1138010300102390009,1,대지,239,9.0,서울특별시 은평구 불광동 239-9,113803111004,서울특별시 은평구 불광로,121.0,,1138010300102390009040312,,서울특별시 은평구 불광로 121,122856,3353,,지,,126.932866946226,37.6176191659277,서울특별시,은평구,불광동,239-9,은평구 불광동
MA010120220807386031,육의전PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013800,종로2가,1111013800100400000,1,대지,40,,서울특별시 종로구 종로2가 40,111103005006,서울특별시 종로구 수표로,105.0,,1111013800100400000000001,육의전빌딩,서울특별시 종로구 수표로 105,110122,3140,,2,,126.989188052453,37.5706123379791,서울특별시,종로구,종로2가,40,종로구 종로2가
MA010120220807565649,3POPPC방쓰리팝,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11290,성북구,11290640,정릉3동,1129013300,정릉동,1129013300103730004,1,대지,373,4.0,서울특별시 성북구 정릉동 373-4,112904121381,서울특별시 성북구 솔샘로4길,46.0,,1129013300103730004030528,성신프라자,서울특별시 성북구 솔샘로4길 46,136850,2710,,2,,127.007317786177,37.6085197607031,서울특별시,성북구,정릉동,373-4,성북구 정릉동
MA010120220807770590,라스베가스PC,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11320,도봉구,11320514,창4동,1132010700,창동,1132010700100060000,1,대지,6,,서울특별시 도봉구 창동 6,113204127200,서울특별시 도봉구 마들로11가길,15.0,,1132010700100060000014370,,서울특별시 도봉구 마들로11가길 15,132898,1414,,,,127.049239589184,37.6526463301443,서울특별시,도봉구,창동,6,도봉구 창동
MA010120220807983158,피에스타PC방,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1121510500106000000,1,대지,600,,서울특별시 광진구 자양동 600,112153104011,서울특별시 광진구 자양번영로,20.0,,1121510500106000000012462,자양빌딩,서울특별시 광진구 자양번영로 20,143865,5098,,2,,127.075344462893,37.531384051702,서울특별시,광진구,자양동,600,광진구 자양동
MA010120220808196952,아이센스리그PC,,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013500,관철동,1111013500100120018,1,대지,12,18.0,서울특별시 종로구 관철동 12-18,111104100140,서울특별시 종로구 삼일대로17길,19.0,,1111013500100120018014857,원산빌딩,서울특별시 종로구 삼일대로17길 19,110111,3190,,2,,126.986311173354,37.5690558990722,서울특별시,종로구,관철동,12-18,종로구 관철동
