상가업소번호,상호명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번주소,도로명코드,도로명,도로명주소,구우편번호,신우편번호,경도,위도,시,구,동,그외주소,구_동,학교,술집,노래방,다른 포토부스 개수
MA010120220805486370,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11440,마포구,11440690,망원1동,1144012300,망원동,1144012300103990036,서울특별시 마포구 망원동 399-36,114403113024,서울특별시 마포구 포은로,서울특별시 마포구 포은로 87,121821,4015,126.905095308749,37.5548150292421,서울특별시,마포구,망원동,399-36,마포구 망원동,35,225,45,0
MA010120220807103991,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107940001,서울특별시 강서구 마곡동 794-1,115003115001,서울특별시 강서구 강서로,서울특별시 강서구 강서로 385,157805,7803,126.838284382893,37.5600783011571,서울특별시,강서구,마곡동,794-1,강서구 마곡동,52,221,39,0
MA010120220807117753,스튜디오앳,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73302,상업용 사진 촬영업,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103840009,서울특별시 마포구 서교동 384-9,114404139418,서울특별시 마포구 양화로11길,서울특별시 마포구 양화로11길 68,121839,4035,126.913011969271,37.5520949607962,서울특별시,마포구,서교동,384-9,마포구 서교동,33,849,87,0
MA010120220808009151,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103660019,서울특별시 마포구 서교동 366-19,114403113015,서울특별시 마포구 어울마당로,서울특별시 마포구 어울마당로 75,121893,4042,126.92128839809,37.5518555025972,서울특별시,마포구,서교동,366-19,마포구 서교동,43,974,78,0
MA010120220808511358,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11305,강북구,11305635,수유3동,1130510300,수유동,1130510300101920035,서울특별시 강북구 수유동 192-35,113054124141,서울특별시 강북구 도봉로87길,서울특별시 강북구 도봉로87길 32,142878,1072,127.024145543069,37.6390520615216,서울특별시,강북구,수유동,192-35,강북구 수유동,30,287,173,0
MA010120220809366167,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11200,성동구,11200660,성수1가2동,1120011400,성수동1가,1120011400106850423,서울특별시 성동구 성수동1가 685-423,112004109318,서울특별시 성동구 서울숲2길,서울특별시 성동구 서울숲2길 17-2,133825,4768,127.040723978408,37.5471736288453,서울특별시,성동구,성수동1가,685-423,성동구 성수동1가,39,114,15,0
MA010120220810382027,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11110,종로구,11110540,삼청동,1111014300,화동,1111014300101180000,서울특별시 종로구 화동 118,111104100112,서울특별시 종로구 북촌로5길,서울특별시 종로구 북촌로5길 24,110230,3055,126.98362183365,37.5795298997609,서울특별시,종로구,화동,118,종로구 화동,58,219,11,0
MA010120220811661546,포토이즘컬러드,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103580048,서울특별시 마포구 서교동 358-48,114404139458,서울특별시 마포구 와우산로21길,서울특별시 마포구 와우산로21길 36,121838,4040,126.921981414207,37.5524565180965,서울특별시,마포구,서교동,358-48,마포구 서교동,42,994,78,0
MA010120220811900672,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100130009,서울특별시 서대문구 창천동 13-9,114104136067,서울특별시 서대문구 명물길,서울특별시 서대문구 명물길 26,120833,3777,126.938235560335,37.5578748908068,서울특별시,서대문구,창천동,13-9,서대문구 창천동,79,362,67,0
MA010120220812869486,포토이즘,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11215,광진구,11215710,화양동,1121510700,화양동,1121510700100470081,서울특별시 광진구 화양동 47-81,112154112316,서울특별시 광진구 아차산로29길,서울특별시 광진구 아차산로29길 19,143917,5018,127.068358061907,37.5418264016476,서울특별시,광진구,화양동,47-81,광진구 화양동,50,414,137,0
