행정동명,행정동코드,법정동명,법정동코드,총인구수,총가구수,가구당인구수,평균소득금액,시,구,동,구_동숫자,구_동
서울특별시 종로구 청운효자동,1111051500,청운동,1111010100,11680,4715,2.48,9049.02,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,신교동,1111010200,11680,4715,2.48,5544.59,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,궁정동,1111010300,11680,4715,2.48,7078.69,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,효자동,1111010400,11680,4715,2.48,5403.79,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,창성동,1111010500,11680,4715,2.48,5345.71,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,통인동,1111010800,11680,4715,2.48,4784.15,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,누상동,1111010900,11680,4715,2.48,4749.17,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,누하동,1111011000,11680,4715,2.48,4302.0,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,옥인동,1111011100,11680,4715,2.48,5638.12,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 청운효자동,1111051500,세종로,1111011900,11680,4715,2.48,7285.86,서울특별시,종로구,청운효자동,종로구 청운효자동,종로구 청운효자동
서울특별시 종로구 사직동,1111053000,통의동,1111010600,8705,3969,2.19,5480.03,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,적선동,1111010700,8705,3969,2.19,5675.54,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,체부동,1111011200,8705,3969,2.19,4941.51,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,필운동,1111011300,8705,3969,2.19,4943.26,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,내자동,1111011400,8705,3969,2.19,4560.52,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,사직동,1111011500,8705,3969,2.19,5152.87,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,도렴동,1111011600,8705,3969,2.19,6699.8,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,당주동,1111011700,8705,3969,2.19,6598.27,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,내수동,1111011800,8705,3969,2.19,9203.43,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
서울특별시 종로구 사직동,1111053000,세종로,1111011900,8705,3969,2.19,7285.86,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동
