학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,소재지도로명주소,도로명우편번호,설립일자,지번주소,시,구,동,이외주소,구_동
성공회대학교,Sungkonghoe University,본교,대학,대학교,사립,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)",8359,1992-12-23,서울 구로구 항동 1-1,서울,구로구,항동,1-1,구로구 항동
태재대학교,TAEJAE UNIVERSITY,본교,대학,사이버대학(대학),사립,서울특별시 종로구 창덕궁5길 22-8 (원서동),3051,2023-09-01,서울 종로구 원서동 9-4,서울,종로구,원서동,9-4,종로구 원서동
가톨릭대학교,The Catholic University Of Korea,제2캠퍼,대학,대학교,사립,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",6591,1995-03-01,서울 서초구 반포동 505,서울,서초구,반포동,505,서초구 반포동
가톨릭대학교,The Catholic University Of Korea,제3캠퍼,대학,대학교,사립,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",3083,1995-03-01,서울 종로구 혜화동 90-1,서울,종로구,혜화동,90-1,종로구 혜화동
감리교신학대학교,Methodist Theological University,본교,대학,대학교,사립,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",3745,1887-09-29,서울 서대문구 냉천동 31,서울,서대문구,냉천동,31,서대문구 냉천동
강서대학교,GANGSEO UNIVERSITY,본교,대학,대학교,사립,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",7661,1958-04-19,서울 강서구 화곡동 953-1,서울,강서구,화곡동,953-1,강서구 화곡동
건국대학교,Konkuk University,본교,대학,대학교,사립,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",5029,1931-05-15,서울 광진구 화양동 1,서울,광진구,화양동,1,광진구 화양동
경기대학교,Kyonggi University,제2캠퍼,대학,대학교,사립,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",3746,1947-11-08,서울 서대문구 충정로2가 67-9,서울,서대문구,충정로2가,67-9,서대문구 충정로2가
경희대학교,Kyung Hee University,본교,대학,대학교,사립,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",2447,1951-05-18,서울 동대문구 회기동 1-5,서울,동대문구,회기동,1-5,동대문구 회기동
고려대학교,Korea University,본교,대학,대학교,사립,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",2841,1905-05-05,서울 성북구 안암동5가 1-2,서울,성북구,안암동5가,1-2,성북구 안암동5가
광운대학교,Kwangwoon University,본교,대학,대학교,사립,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",1897,1934-05-20,서울 노원구 월계동 447-1,서울,노원구,월계동,447-1,노원구 월계동
국민대학교,Kookmin University,본교,대학,대학교,사립,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",2707,1946-09-01,서울 성북구 정릉동 861-1,서울,성북구,정릉동,861-1,성북구 정릉동
덕성여자대학교,Duksung Women’S University,본교,대학,대학교,사립,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",1369,1950-05-17,서울 도봉구 쌍문동 419,서울,도봉구,쌍문동,419,도봉구 쌍문동
동국대학교,Dongguk University,본교,대학,대학교,사립,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",4620,1946-09-20,서울 중구 필동3가 26-1,서울,중구,필동3가,26-1,중구 필동3가
동덕여자대학교,Dongduk Women’s University,본교,대학,대학교,사립,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",2748,1950-05-27,서울 성북구 하월곡동 23-1,서울,성북구,하월곡동,23-1,성북구 하월곡동
디지털서울문화예술대학교,Digital Seoul Culture Arts University,본교,대학,사이버대학(대학),사립,"서울특별시 서대문구 통일로37길 60 (홍제동, 디지털서울문화예술대학교)",3645,2010-03-01,서울 서대문구 홍제동 318-18,서울,서대문구,홍제동,318-18,서대문구 홍제동
